Species,Date,Location,Notes,State
BLACK-CHINNED HUMMINGBIRD,4/21/2019,Tucson Audubon's Paton Center for Hummingbirds 
ANNA’S HUMMINGBIRD,4/21/2019,Tucson Audubon's Paton Center for Hummingbirds 
BEWICK'S WREN,4/21/2019,Tucson Audubon's Paton Center for Hummingbirds 
SHARP-SHINNED HAWK,4/21/2019,Tucson Audubon's Paton Center for Hummingbirds 
VIOLET-CROWNED HUMMINGBIRD,4/21/2019,Tucson Audubon's Paton Center for Hummingbirds 
BRIDLED TITMOUSE,4/21/2019,Tucson Audubon's Paton Center for Hummingbirds 
BLACK-HEADED GROSBEAK,4/21/2019,Tucson Audubon's Paton Center for Hummingbirds 
RUFOUS HUMMINGBIRD,4/21/2019,Tucson Audubon's Paton Center for Hummingbirds 
SCOTT’S ORIOLE,4/21/2019,Tucson Audubon's Paton Center for Hummingbirds 
COMMON GROUND-DOVE,4/21/2019,Tucson Audubon's Paton Center for Hummingbirds 
NORTHERN BEARDLESS-TYRANNULET,4/21/2019,Tucson Audubon's Paton Center for Hummingbirds 
LARK SPARROW,4/21/2019,Tucson Audubon's Paton Center for Hummingbirds 
CHIPPING SPARROW,4/21/2019,Tucson Audubon's Paton Center for Hummingbirds 
HOODED ORIOLE,4/21/2019,"Hacienda del Sol Restaurant, Tucson, AZ"
VERDIN,4/21/2019,"Karen’s driveway, Tucson, AZ"
GOLDEN EAGLE,4/22/2019,"Box Canyon, Florence, AZ"
SCOTT’S ORIOLE,4/22/2019,"Box Canyon, Florence, AZ"
RUFOUS-CROWNED SPARROW,4/22/2019,"Box Canyon, Florence, AZ"
BLACK-CAPPED GNATCATCHER,4/22/2019,"Florida Canyon, Green Valley, AZ"
BELL'S VIREO,4/22/2019,"Florida Canyon, Green Valley, AZ"
BLACK-HEADED GROSBEAK,4/22/2019,"Santa Rita Lodge, Madera Canyon, AZ"
MEXICAN JAY,4/22/2019,"Santa Rita Lodge, Madera Canyon, AZ"
WILD TURKEY,4/22/2019,"Santa Rita Lodge, Madera Canyon, AZ"
HEPATIC TANAGER,4/22/2019,"Santa Rita Lodge, Madera Canyon, AZ"
RIVOLI'S HUMMINGBIRD,4/22/2019,"Santa Rita Lodge, Madera Canyon, AZ"
WILSON’S WARBLER,4/22/2019,"Santa Rita Lodge, Madera Canyon, AZ"
BROAD-BILLED HUMMINGBIRD,4/22/2019,"Santa Rita Lodge, Madera Canyon, AZ"
BROAD-TAILED HUMMINGBIRD,4/22/2019,"Santa Rita Lodge, Madera Canyon, AZ"
BLACK-CHINNED HUMMINGBIRD,4/22/2019,"Santa Rita Lodge, Madera Canyon, AZ"
LESSER GOLDFINCH,4/22/2019,"Santa Rita Lodge, Madera Canyon, AZ"
PINE SISKIN,4/22/2019,"Santa Rita Lodge, Madera Canyon, AZ"
COMMON POORWILL,4/22/2019,"Karen's Patio, Tucson, AZ",,AZ
