Sort,Species,Date,Location,Notes
65,Common Pauraque,12/29/1994,"Bentsen Rio State Park, TX",""
66,Common Poorwill,4/22/2019,"Karen's Patio, Tucson, AZ",""
67,Chuck-will's-widow,5/15/1988,"Assateague NWR",""
68,Eastern Whip-poor-will,5/8/1991,"Cape Henlopen State Park",""
69,Chimney Swift,9/3/1978,"City of Annapolis, MD",""
70,White-throated Swift,5/9/1993,"Red Rocks Park (West of Denver)",""
71,Rivoli's Hummingbird,4/22/2019,"Santa Rita Lodge, Madera Canyon, AZ",""
72,Ruby-throated Hummingbird,8/15/1988,"Patapsco Valley State Park",""
73,Black-chinned Hummingbird,1/8/1995,"Near Cecilton, MD",""
74,Anna's Hummingbird,4/21/2019,"Tucson Audubon's Paton Center for Hummingbirds",""
75,Costa's Hummingbird,4/19/2019,"Karen's Patio, Tucson, AZ",""
76,Broad-tailed Hummingbird,5/9/1993,"Red Rocks Park (West of Denver)",""
77,Rufous Hummingbird,4/21/2019,"Tucson Audubon's Paton Center for Hummingbirds",""
78,Broad-billed Hummingbird,4/22/2019,"Santa Rita Lodge, Madera Canyon, AZ",""
79,Buff-bellied Hummingbird,12/28/1994,"Sabal Palm Audubon Sanctuary",""
80,Violet-crowned Hummingbird,4/21/2019,"Tucson Audubon's Paton Center for Hummingbirds",""
81,Black Rail,6/19/1993,"Elliot Island",""
82,Clapper Rail,5/9/1991,"Chincoteague NWR",""
83,King Rail,7/17/1990,"Huntley Meadows",""
84,Virginia Rail,5/16/1992,"Bombay Hook NWR",""
85,Sora,9/17/1994,"Jug Bay",""
86,Common Moorhen,4/27/1992,"J. N. ""Ding"" Darling NWR",""
87,American Coot,1/15/1988,"Annapolis Harbor",""
88,Limpkin,4/28/1992,"Corkscrew Swamp",""
89,Sandhill Crane,6/4/1994,"Launch Rd, Churchill, Manitoba",""
90,Black-necked Stilt,6/3/1990,"Bombay Hook NWR",""
91,American Avocet,8/12/1990,"Bombay Hook NWR",""
92,American Oystercatcher,5/17/1990,"Marthas Vineyard",""
93,Black-bellied Plover,6/3/1990,"Bombay Hook NWR",""
94,American Golden-Plover,6/4/1994,"Launch Rd, Churchill, Manitoba",""
95,Semipalmated Plover,9/17/1989,"Blackwater NWR",""
96,Piping Plover,5/15/1990,"Coast Guard Beach, Eastham, MA",""
97,Killdeer,4/15/1983,"Eldersburg London Fog",""
98,Upland Sandpiper,9/19/1991,"Dover AFB",""
99,Whimbrel,5/5/1991,"Brigantine NWR",""
100,Long-billed Curlew,12/28/1994,"Laguna Atascosa",""
101,Hudsonian Godwit,8/12/1990,"Bombay Hook NWR",""
102,Marbled Godwit,8/23/1991,"Bombay Hook NWR",""
103,Ruddy Turnstone,5/5/1991,"Brigantine NWR",""
104,Red Knot,5/31/1991,"Port Mahon",""
105,Ruff,5/16/1992,"Port Mahon Road, Leipsic, DE",""
106,Sharp-tailed Sandpiper,8/28/1993,"Bombay Hook NWR",""
107,Stilt Sandpiper,8/23/1991,"Bombay Hook NWR",""
108,Curlew Sandpiper,5/31/1991,"Bombay Hook NWR",""
109,Sanderling,10/10/1988,"Assateague NWR",""
110,Dunlin,5/27/1990,"Blackwater NWR",""
111,Purple Sandpiper,1/5/1992,"Ocean City, MD jetty",""
112,Baird's Sandpiper,10/10/1992,"Port Mahon Road, Leipsic, DE",""
113,Least Sandpiper,5/9/1991,"Chincoteague NWR",""
114,White-rumped Sandpiper,5/16/1992,"Bombay Hook NWR",""
115,Pectoral Sandpiper,9/19/1991,"Bombay Hook NWR",""
116,Semipalmated Sandpiper,5/27/1990,"Blackwater NWR",""
117,Western Sandpiper,10/14/1990,"Chincoteague NWR",""
118,Short-billed Dowitcher,8/12/1990,"Bombay Hook NWR",""
119,Long-billed Dowitcher,10/10/1992,"Bombay Hook NWR",""
120,American Woodcock,12/22/1991,"Annapolis Rd",""
121,Common Snipe,1/26/1992,"Lilypons, Adamstown, MD",""
122,Spotted Sandpiper,5/28/1989,"Patapsco State Park, MD",""
123,Solitary Sandpiper,5/14/1988,"Savage, MD",""
124,Lesser Yellowlegs,8/17/1989,"Blackwater NWR",""
125,Greater Yellowlegs,9/17/1989,"Blackwater NWR",""
126,Wilson's Phalarope,8/12/1990,"Bombay Hook NWR",""
127,Red-necked Phalarope,4/25/1992,"Granary Ponds, Churchill, Manitoba",""
128,Parasitic Jaeger,6/9/1994,"Atlantic Ocean aboard OC Queen",""
129,Long-tailed Jaeger,7/13/1971,"Bird Cove, Churchill, Manitoba",""
130,Black-legged Kittiwake,12/25/1990,"White Rock Lake, Dallas, TX",""
131,Bonaparte's Gull,12/25/1990,"White Rock Lake, Dallas, TX",""
132,Black-headed Gull,2/6/1994,"Conwingo Dam, Conwingo, MD",""
133,Ross's Gull,6/7/1994,"Coast Rd, Churchill, Manitoba",""
134,Laughing Gull,2/6/1994,"Cape Hatteras, NC",""
135,Franklin's Gull,5/9/1993,"Barr Lake (NE of Denver)",""
136,Ring-billed Gull,3/15/1985,"Staten Island ferry",""
137,Herring Gull,8/15/1972,"Trip through New England",""
138,Iceland Gull,1/19/1992,"Conwingo Dam, Conwingo, MD",""
139,Lesser Black-backed Gull,1/11/1992,"Conwingo Dam, Conwingo, MD",""
140,Glaucous Gull,6/10/1994,"Cape Merry, Churchill, Manitoba",""
141,Great Black-backed Gull,8/11/1972,"Coast of Maine and Nova Scotia",""
142,Least Tern,5/14/1989,"Blackwater NWR",""
143,Gull-billed Tern,5/5/1991,"Brigantine NWR",""
144,Caspian Tern,9/17/1989,"Blackwater NWR",""
145,Black Tern,7/29/1992,"Little Creek Wildlife Management Area, DE",""
146,White-winged Tern,7/29/1992,"Little Creek Wildlife Management Area, DE",""
147,Whiskered Tern,7/24/1993,"Ted Harvey Conservation Area",""
148,Common Tern,5/15/1990,"Coast Guard Beach, Eastham, MA",""
149,Arctic Tern,6/3/1994,"Granary Ponds, Churchill, Manitoba",""
150,Forster's Tern,5/14/1989,"Blackwater NWR",""
151,Royal Tern,10/14/1990,"Chincoteague NWR",""
152,Black Skimmer,10/14/1990,"Chinc NWR",""
153,Red-throated Loon,12/19/1992,"Cape Henlopen State Park",""
154,Pacific Loon,6/3/1994,"Cape Merry, Churchill, Manitoba",""
155,Common Loon,4/14/1990,"Lake at Erieville, NY",""
156,Wilson's Storm-Petrel,4/25/1992,"Atlantic Ocean aboard OC Queen",""
157,Northern Fulmar,4/25/1992,"Atlantic Ocean aboard OC Queen",""
158,Sooty Shearwater,4/25/1992,"Atlantic Ocean aboard OC Queen",""
159,Manx Shearwater,5/15/1990,"Stellwagen Bank off Cape Cod",""
160,Wood Stork,4/28/1992,"Corkscrew Swamp",""
161,Magnificent Frigatebird,4/26/1992,"Sanibel Island",""
162,Northern Gannet,5/15/1990,"Stellwagen Bank off Cape Cod",""
163,Neotropic Cormorant,12/31/1994,"Falcon Dam",""
164,Double-crested Cormorant,11/19/1989,"Blackwater NWR",""
165,Great Cormorant,12/19/1992,"Indian River Inlet",""
166,Anhinga,4/27/1992,"J. N. ""Ding"" Darling NWR",""
167,American White Pelican,10/14/1990,"Chincoteague NWR",""
168,Brown Pelican,10/10/1988,"Assateague NWR",""
169,American Bittern,6/9/1994,"Landing Lake Rd, Churchill, Manitoba",""
170,Least Bittern,7/26/1992,"Bombay Hook NWR",""
171,Great Blue Heron,1/1/1987,"Everywhere",""
172,Great Egret,6/4/1984,"Dallas, TX",""
173,Snowy Egret,6/6/1986,"Fairfield, CT",""
174,Little Blue Heron,10/11/1988,"Assateague NWR",""
175,Tricolored Heron,5/5/1991,"Brigantine NWR",""
176,Reddish Egret,12/28/1994,"Laguna Atascosa",""
177,Cattle Egret,6/4/1984,"Dallas, TX",""
178,Green Heron,5/27/1990,"Blackwater NWR",""
179,Black-crowned Night-Heron,8/12/1990,"Bombay Hook NWR",""
180,Yellow-crowned Night-Heron,7/15/1990,"Robert E. Lee Park",""
181,White Ibis,4/27/1992,"J. N. ""Ding"" Darling NWR",""
182,Glossy Ibis,9/21/1986,"Orlando, FL",""
183,Roseate Spoonbill,4/27/1992,"J. N. ""Ding"" Darling NWR",""
184,Black Vulture,10/6/1991,"Washington Monument State",""
185,Turkey Vulture,1/5/1992,"Route 50 East",""
186,California Condor,4/15/2019,"Marble Canyon, AZ past the Navajo Bridge",""
187,Osprey,8/14/1972,"Maine",""
188,White-tailed Kite,12/28/1994,"Laguna Atascosa",""
189,Swallow-tailed Kite,4/28/1992,"Route 846 near Corkscrew Swamp",""
190,Golden Eagle,11/27/1993,"Town Hill, MD",""
191,Northern Harrier,9/2/1989,"Blackwater NWR",""
192,Sharp-shinned Hawk,10/7/1990,"Hawk Mountain",""
193,Cooper's Hawk,12/22/1991,"Near RESCO (Baltimore, MD)",""
194,Bald Eagle,5/14/1989,"Blackwater NWR",""
195,Harris's Hawk,12/27/1994,"Kleberg Park near Kingsville, TX",""
196,White-tailed Hawk,12/27/1994,"Road to Rio Grande",""
197,Gray Hawk,4/21/2019,"Las Cienegas National Conservation Area, AZ",""
198,Red-shouldered Hawk,5/14/1984,"Shonin at Laurel, MD",""
199,Broad-winged Hawk,10/7/1990,"Hawk Mountain",""
200,Swainson's Hawk,5/9/1993,"Rocky Mountain Arsenal area, CO",""
201,Zone-tailed Hawk,4/19/2019,"Mount Lemmon, Tucson, AZ",""
202,Red-tailed Hawk,5/22/1988,"West Exeter, NY",""
203,Rough-legged Hawk,1/11/1991,"Bombay Hook NWR",""
204,Ferruginous Hawk,12/29/1994,"Bentsen Rio State Park, TX",""
205,Barn Owl,5/29/1993,"Brigantine NWR",""
206,Western Screech-Owl,4/21/2019,"Karen's Patio, Tucson, AZ",""
207,Eastern Screech-Owl,10/21/1991,"Campground, West Cape May, NJ",""
208,Great Horned Owl,10/21/1991,"Campground, West Cape May, NJ",""
209,Snowy Owl,3/7/1993,"Cape Henlopen State Park, DE",""
210,Northern Hawk Owl,6/5/1994,"Twin Lakes, Churchill, Manitoba",""
211,Burrowing Owl,5/10/1993,"Rocky Mountain Arsenal area, CO",""
212,Barred Owl,7/15/1972,"Rte 310 near Ross",""
213,Great Gray Owl,6/10/1994,"Springfield, VA",""
214,Short-eared Owl,5/9/1993,"Rocky Mountain Arsenal area, CO",""
215,Ringed Kingfisher,12/29/1994,"Bentsen Rio State Park",""
216,Belted Kingfisher,4/12/1972,"Springfield, VA at creek",""
217,Green Kingfisher,12/29/1994,"Bentsen Rio State Park, TX",""
218,Red-headed Woodpecker,4/10/1984,"Shonin, Laurel, MD",""
219,Acorn Woodpecker,4/19/2019,"Mount Lemmon, Tucson, AZ",""
220,Gila Woodpecker,4/18/2019,"Sedona, AZ",""
221,Golden-fronted Woodpecker,12/27/1994,"Kleberg Park near Kingsville, TX",""
222,Red-bellied Woodpecker,3/22/1988,"Savage Mill, MD",""
223,Yellow-bellied Sapsucker,12/25/1990,"White Rock Lake, Dallas, TX",""
224,American Three-toed Woodpecker,6/8/1994,"Twin Lakes, Churchill, Manitoba",""
225,Black-backed Woodpecker,6/8/1994,"Twin Lakes, Churchill, Manitoba",""
226,Downy Woodpecker,11/26/1987,"Darien, CT",""
227,Ladder-backed Woodpecker,12/27/1994,"Road to Rlo Grande",""
228,Hairy Woodpecker,6/14/1986,"Ward Pound Ridge Reservation, Westchester, NY",""
229,Northern Flicker,6/13/1986,"Branchville, NJ",""
230,Pileated Woodpecker,8/7/1972,"Springfield, VA",""
231,Crested Caracara,12/27/1994,"Road to Rio Grande",""
232,American Kestrel,5/18/1983,"Baltimore",""
233,Merlin,10/21/1990,"Cape May Lighthouse, Cape May, NJ",""
234,Peregrine Falcon,10/14/1990,"Chincoteague NWR",""
235,Monk Parakeet,12/22/1994,"Texas Hill Country",""
236,Green Parakeet,12/28/1994,"Brownsville, TX",""
237,Red-crowned Parrot,12/28/1994,"Brownsville Dump, Brownsville, TX",""
238,Northern Beardless-Tyrannulet,4/21/2019,"Tucson Audubon's Paton Center for Hummingbirds",""
239,Great Crested Flycatcher,5/14/1989,"Blackwater NWR",""
240,Great Kiskadee,12/29/1994,"Bentsen Rio State Park",""
241,Couch's Kingbird,12/29/1994,"Bentsen Rio State Park",""
242,Cassin's Kingbird,4/21/2019,"Las Cienegas National Conservation Area, AZ",""
243,Western Kingbird,5/9/1993,"Barr Lake (NE of Denver)",""
244,Eastern Kingbird,6/13/1986,"Ward Pound Ridge Reservation",""
245,Gray Kingbird,4/27/1992,"J. N. ""Ding"" Darling NWR",""
246,Scissor-tailed Flycatcher,6/4/1984,"Dallas, TX",""
247,Olive-sided Flycatcher,5/25/1992,"Patapsco Valley State Park",""
248,Eastern Wood-Pewee,8/9/1972,"Springfield, VA",""
249,Acadian Flycatcher,5/13/1992,"Patapsco Valley State Park",""
250,Willow Flycatcher,5/25/1992,"Cylburn Arboretum, Baltimore, MD",""
251,Least Flycatcher,6/10/1994,"Rte 310 near Ross",""
252,Eastern Phoebe,3/29/1989,"Savage, MD",""
253,Say's Phoebe,12/27/1994,"Kleberg Park near Kingsville, TX",""
254,Vermilion Flycatcher,2/14/1993,"Nassawaddox, VA",""
255,Loggerhead Shrike,12/26/1990,"Abramshire",""
256,White-eyed Vireo,5/15/1988,"Assateague NWR",""
257,Bell's Vireo,4/22/2019,"Florida Canyon, Green Valley, AZ",""
258,Yellow-throated Vireo,5/6/1990,"Patapsco Valley State Park",""
259,Blue-headed Vireo,10/18/1992,"Soldiers Delight, Baltimore County, MD",""
260,Warbling Vireo,6/13/1993,"C & O Canal at Noland's Landing",""
261,Red-eyed Vireo,5/13/1988,"Savage, MD",""
262,Black-whiskered Vireo,4/27/1992,"J. N. ""Ding"" Darling NWR",""
263,Canada Jay,6/5/1994,"Twin Lakes, Churchill, Manitoba",""
264,Brown Jay,12/30/1994,"Santa Margarita Ranch, Santa Margarita, CA",""
265,Green Jay,12/27/1994,"Road to Rio Grande",""
266,Steller's Jay,5/9/1993,"Lair o' the Bear Park, Jefferson County, CO",""
267,Blue Jay,8/19/1972,"Springfield, VA",""
268,Florida Scrub-Jay,5/2/1992,"Merritt Island NWR",""
269,Mexican Jay,4/22/2019,"Santa Rita Lodge, Madera Canyon, AZ",""
270,Black-billed Magpie,5/9/1993,"Red Rocks Loop roads",""
271,American Crow,12/22/1991,"Fort McHenry, Baltimore, MD",""
272,Tamaulipas Crow,12/28/1994,"Brownsville Dump, Brownsville, TX",""
273,Fish Crow,3/1/1992,"Loch Raven Reservoir",""
274,Chihuahuan Raven,12/28/1994,"Brownsville Dump, Brownsville, TX",""
275,Common Raven,5/9/1993,"Red Rocks Park (West of Denver)",""
276,Horned Lark,5/15/1990,"Coast Guard beach, Eastham, MA",""
277,Purple Martin,5/14/1989,"Blackwater NWR",""
278,Tree Swallow,5/20/1984,"Rte 198 at swamp near Brockbridge Rd. Jessup, MD",""
279,Violet-green Swallow,5/9/1993,"O'Fallon Park (West of Denver)",""
280,Northern Rough-winged Swallow,5/14/1988,"Savage, MD",""
281,Bank Swallow,5/9/1993,"Barr Lake (NE of Denver)",""
282,Cliff Swallow,7/4/1993,"Freedom Village Shopping Center",""
283,Cave Swallow,12/27/1994,"Road to Rio Grande",""
284,Barn Swallow,4/13/1992,"JFX near Cross Keys",""
285,Carolina Chickadee,9/17/1989,"Blackwater NWR",""
286,Black-capped Chickadee,4/14/1990,"Erieville, NY",""
287,Mountain Chickadee,5/9/1993,"O'Fallon Park (West of Denver)",""
288,Boreal Chickadee,6/8/1994,"Twin Lakes, Churchill, Manitoba",""
289,Bridled Titmouse,4/21/2019,"Tucson Audubon's Paton Center for Hummingbirds",""
290,Tufted Titmouse,5/18/1988,"Savage, MD",""
291,Verdin,12/30/1994,"Santa Margarita Ranch, Santa Margarita, CA",""
292,Red-breasted Nuthatch,2/10/1991,"Loch Raven Reservoir",""
293,White-breasted Nuthatch,11/26/1987,"Darien, CT",""
294,Pygmy Nuthatch,5/9/1993,"Genesee Park (West ot Denver)",""
295,Brown-headed Nuthatch,2/9/1989,"Blackwater NWR",""
296,Brown Creeper,3/28/1989,"Savage, MD",""
297,Canyon Wren,12/22/1994,"Texas Hill Country",""
298,House Wren,5/3/1990,"Patapsco Valley State Park",""
299,Winter Wren,3/15/1991,"Patapsco Valley State Park",""
300,Marsh Wren,6/3/1990,"Bombay Hook NWR",""
301,Carolina Wren,7/14/1988,"Patapsco Valley State Park",""
302,Bewick's Wren,12/22/1994,"Texas Hill Country",""
303,Cactus Wren,12/30/1994,"Santa Margarita Ranch, Santa Margarita, CA",""
304,Blue-gray Gnatcatcher,4/4/1988,"Patapsco Valley State Park",""
305,Black-capped Gnatcatcher,4/22/2019,"Florida Canyon, Green Valley, AZ",""
306,American Dipper,5/9/1993,"O'Fallon Park (West of Denver)",""
307,Golden-crowned Kinglet,3/26/1989,"Patapsco Valley State Park",""
308,Ruby-crowned Kinglet,4/15/1989,"2617 Guilford Ave, Baltimore, MD",""
309,Eastern Bluebird,4/19/1986,"Waveny Mansion, New Canaan, CT",""
310,Western Bluebird,5/9/1993,"Genesee Park (West of Denver)",""
311,Mountain Bluebird,5/9/1993,"Upper Bear Creek Rd. (West of Denver)",""
312,Veery,6/29/1991,"Shenandoah National Park",""
313,Gray-cheeked Thrush,5/3/1990,"Patapsco Valley State Park",""
314,Swainson's Thrush,5/3/1990,"Patapsco Valley State Park",""
315,Hermit Thrush,4/14/1988,"2617 Guilford Ave, Baltimore, MD",""
316,Wood Thrush,6/6/1984,"Shonin at Laurel, MD",""
317,American Robin,3/28/1992,"Darien, CT",""
318,Gray Catbird,5/15/1988,"Assateague NWR",""
319,Curve-billed Thrasher,12/30/1994,"Santa Margarita Ranch, Santa Margarita, CA",""
320,Brown Thrasher,5/14/1989,"Blackwater NWR",""
321,Long-billed Thrasher,12/29/1994,"Bentsen Rio State Park",""
322,Northern Mockingbird,5/14/1980,"City of Annapolis, MD",""
323,European Starling,12/22/1991,"Fort McHenry, Baltimore, MD",""
324,Cedar Waxwing,4/18/1979,"St John's College, Annapolis, MD",""
325,Phainopepla,4/19/2019,"Karen's Patio, Tucson, AZ",""
326,House Sparrow,12/22/1991,"Fort McHenry, Baltimore, MD",""
327,American Pipit,12/31/1992,"Hagerman NWR",""
328,Sprague's Pipit,12/22/1994,"Texas Hill Country",""
329,Evening Grosbeak,10/23/1993,"Town Hill, MD",""
330,Pine Grosbeak,6/5/1994,"Twin Lakes, Churchill, Manitoba",""
331,House Finch,12/22/1991,"Fort McHenry, Baltimore, MD",""
332,Purple Finch,11/1/1992,"Loch Raven Reservoir",""
333,Common Redpoll,1/8/1994,"Hart-Miller Island",""
334,Hoary Redpoll,6/9/1994,"Bird Cove, Churchill, Manitioba",""
335,Pine Siskin,10/14/1989,"New Canaan, CT",""
336,Lesser Goldfinch,4/22/2019,"Santa Rita Lodge, Madera Canyon, AZ",""
337,American Goldfinch,5/14/1988,"Savage, MD",""
338,Lapland Longspur,12/6/1992,"Lilypons, Adamstown, MD",""
339,Smith's Longspur,6/6/1994,"Dump Rd, Churchill, Manitoba",""
340,Snow Bunting,12/6/1992,"Lilypons, Adamstown, MD",""
341,Olive Sparrow,12/29/1994,"Bentsen Rio State Park",""
342,Eastern Towhee,4/14/1988,"Baltimore City, MD",""
343,Rufous-crowned Sparrow,4/22/2019,"Box Canyon, Florence, AZ",""
344,Canyon Towhee,4/20/2019,"Mission Garden, Tucson, AZ","Could be Green-tailed"
345,Abert's Towhee,4/20/2019,"Karen's Patio, Tucson, AZ",""
346,American Tree Sparrow,4/14/1990,"Berry Hill Farm",""
347,Chipping Sparrow,6/14/1986,"Branchville, MD",""
348,Clay-colored Sparrow,10/12/1992,"Assateague Island",""
349,Field Sparrow,3/15/1990,"Patapsco Valley State Park",""
350,Vesper Sparrow,6/6/1993,"Ringler's Farm near Frostburg, MD",""
351,Lark Sparrow,12/30/1994,"Santa Margarita Ranch, Santa Margarita, CA",""
352,Black-throated Sparrow,12/30/1994,"Santa Margarita Ranch, Santa Margarita, CA",""
353,Lark Bunting,5/9/1993,"Rocky Mountain Arsenal area, CO",""
354,Savannah Sparrow,1/26/1992,"Lilypons, Adamstown, MD",""
355,Grasshopper Sparrow,6/6/1993,"Ringler's Farm near Frostburg, MD",""
356,Henslow's Sparrow,6/6/1993,"Dan's Mountain near Cumberland, MD",""
357,LeConte's Sparrow,12/26/1992,"McKinney, TX",""
358,Seaside Sparrow,5/29/1993,"Brigantine NWR",""
359,Fox Sparrow,11/1/1992,"Loch Raven Reservoir",""
360,Song Sparrow,3/3/1988,"2617 Guilford Ave, Baltimore, MD",""
361,Lincoln's Sparrow,12/26/1992,"McKinney, TX",""
362,Swamp Sparrow,11/19/1989,"Blackwater NWR",""
363,White-throated Sparrow,4/15/1986,"Branchville, MD",""
364,Harris's Sparrow,12/26/1992,"McKinney, TX",""
365,White-crowned Sparrow,1/26/1992,"Lilypons, Adamstown, MD",""
366,Dark-eyed Junco,2/28/1991,"2617 Guilford Ave, Baltimore, MD",""
367,Yellow-eyed Junco,4/19/2019,"Mount Lemmon, Tucson, AZ",""
368,Yellow-breasted Chat,7/5/1992,"Soldiers Delight, Baltimore County, MD",""
369,Yellow-headed Blackbird,5/10/1993,"Rte 270 NE of Denver, CO",""
370,Bobolink,5/31/1988,"West Exeter, NY",""
371,Eastern Meadowlark,5/5/1991,"Brigantine NWR",""
372,Western Meadowlark,6/10/1984,"Dallas, TX",""
373,Orchard Oriole,5/14/1989,"Blackwater NWR",""
374,Hooded Oriole,4/21/2019,"Hacienda del Sol Restaurant, Tucson, AZ",""
375,Altamira Oriole,12/28/1994,"Bentsen Rio State Park, TX",""
376,Audubon's Oriole,12/30/1994,"Santa Margarita Ranch, Santa Margarita, CA",""
377,Baltimore Oriole,5/1/1989,"2617 Guilford Ave, Baltimore, MD",""
378,Scott's Oriole,4/22/2019,"Box Canyon, Florence, AZ",""
379,Red-winged Blackbird,5/14/1989,"Blackwater NWR",""
380,Bronzed Cowbird,12/29/1994,"Bentsen Rio State Park, TX",""
381,Brown-headed Cowbird,7/17/1984,"Shonin at Laurel, MD",""
382,Rusty Blackbird,2/13/1994,"New Design Rd. Area, Buckeystown, MD",""
383,Brewer's Blackbird,6/11/1994,"Oak Hammock, Winnipeg",""
384,Common Grackle,12/22/1991,"Fort McHenry, Baltimore, MD",""
385,Boat-tailed Grackle,5/15/1988,"Assateague NWR",""
386,Great-tailed Grackle,12/25/1990,"White Rock Lake, Dallas, TX",""
387,Ovenbird,5/28/1994,"2617 Guilford Ave, Baltimore, MD",""
388,Worm-eating Warbler,5/27/1990,"Patapsco Valley State Park",""
389,Louisiana Waterthrush,7/13/1988,"Patapsco Valley State Park",""
390,Northern Waterthrush,5/8/1989,"Patapsco Valley State Park",""
391,Golden-winged Warbler,5/6/1990,"Patapsco Valley State Park",""
392,Blue-winged Warbler,5/2/1990,"Patapsco Valley State Park",""
393,Black-and-white Warbler,6/5/1993,"Patapsco Valley State Park",""
394,Prothonotary Warbler,5/28/1989,"Blackwater NWR",""
395,Swainson's Warbler,5/3/1990,"Higbee Beach, Cape May, NJ",""
396,Tennessee Warbler,6/3/1994,"Winnipeg Area",""
397,Orange-crowned Warbler,1/1/1993,"White Rock Lake, Dallas, TX",""
398,Nashville Warbler,6/11/1994,"Winnipeg Area",""
399,Virginia's Warbler,5/9/1993,"Red Rocks Park (West of Denver)",""
400,Connecticut Warbler,6/11/1994,"Winnipeg Area",""
401,Kentucky Warbler,5/25/1992,"Patapsco Valley State Park",""
402,Common Yellowthroat,5/14/1986,"Central Park, NYC, NY",""
403,Hooded Warbler,5/3/1990,"Patapsco Valley State Park",""
